Customer,Nom des Parcs Eoliens,SPV,Project,Three-letter-code,Nom du PDL,Grid operator,PDL Service company,Coordonnées GPS,Communes ( Departements)
STATKRAFT Renouvelables,Lanrivoaré,EOLIENNES SUROIT SNC,Lanrivoaré,LAN,P15 Pervezen à Lanrivoare,ENEDIS,Dourmap,https://goo.gl/maps/k8DXH3LjfpFfLvw76,Lanrivoaré (Bretagne)
STATKRAFT Renouvelables,Méligny le Grand (MLG),EOLIENNES SUROIT SNC,Méligny-le-Grand,MLG,EOL MELIGNY,ENEDIS,INEO,https://goo.gl/maps/jLnk9P6DhaN2,Méligny le Grand (Meuse)
STATKRAFT Renouvelables,Ménil la Horgne (MLH),EOLIENNES SUROIT SNC,Ménil-la-Horgne,MLH,PDL MENIL,ENEDIS,INEO,https://goo.gl/maps/kvjmPg8S4MN2,"Ménil la Horgne, Saulvaux (Meuse)"
STATKRAFT Renouvelables,Roudouallec,EOLIENNES SUROIT SNC,Roudouallec,ROU,Eolien ABOWIND,ENEDIS,Dourmap,https://goo.gl/maps/aPPPtommuRWUfM6f8,Roudouallec (Bretagne)
Lanea,Energie 02,ENERGIE 02,Dizy/ Obi,E02,CARREAU MANCEAU 4,ENEDIS,INEO,https://goo.gl/maps/RKUGPTYRs7y,Dizy-le-Gros (Aisne)
Lanea,Energie 06,ENERGIE 06,Saisseval,E06,VALLEE MADAME,ENEDIS,INEO,https://goo.gl/maps/C9xH6NWYJHB2,Saisseval 80540 (Somme)
Lanea,Energie 21 Poitou Charentes (MLHCP),ENERGIE 21 POITOU-CHARENTES,MLHCP,EPC,MLHCP NORD,GEREDIS ,INEO,https://goo.gl/maps/kKMQ2XzEgrm,"Melleran, Lorigné, Hanc, La Chapelle-Pouilloux (Deux Sèvres)"
Lanea,Energie 21 Poitou Charentes (MLHCP),ENERGIE 21 POITOU-CHARENTES,MLHCP,EPC,MLHCP SUD,ENEDIS,INEO,https://goo.gl/maps/kKMQ2XzEgrm,"Melleran, Lorigné, Hanc, La Chapelle-Pouilloux (Deux Sèvres)"
Lanea,Energie Blanc Mont,ENERGIE DU BLANC MONT,Blanc Mont,EBM,LA GARENNES,ENEDIS,INEO,https://goo.gl/maps/kobYT3ZcSj72,La Malmaison (Aisne)
Lanea,Energie Dizy,ENERGIE DIZY,Dizy,EDI,CARREAU MANCEAU 5,ENEDIS,INEO,https://goo.gl/maps/neRWBmBfit82,Dizy-le-Gros (Aisne)
Lanea,Energie les Trente,ENERGIE LES TRENTE,Les Trente,ELT,LES TRENTE 60011P1069,ENEDIS,INEO,https://goo.gl/maps/XJ6bELGLmDn,"Le fond de Gronde, proche de Amy 60310 (Oise)"
Lanea,Energie Montagne Gaillard,ENERGIE MONTAGNE GAILLARD,Montagne Gaillard,EMG,Montagne Gaillard PDL 1 OUEST,SICAE,INEO,https://goo.gl/maps/W4KcfVogAwy,"Epehy, Villers-Faucon (Somme)"
Lanea,Energie Montagne Gaillard,ENERGIE MONTAGNE GAILLARD,Montagne Gaillard,EMG,Montagne Gaillard PDL 2 EST,SICAE,INEO,https://goo.gl/maps/W4KcfVogAwy,"Epehy, Villers-Faucon (Somme)"
Lanea,Energie Obi,ENERGIE DE L'OBI,Parc M (Obi),EOB,CARREAU MANCEAU 3,ENEDIS,INEO,https://goo.gl/maps/neRWBmBfit82,Dizy-le-Gros (Aisne)
Lanea,Mont d'Ergny,SEPE DU MONT D ERGNY,Mont d'Ergny,SME,CAMPAGNE-LES-BOULONNAIS,ENEDIS,Enercon,https://goo.gl/maps/fM2p9N4ANwuXNkXM9,Bourthes (Pas-de-Calais)
wpd,Château-Garnier,Energie Château Garnier,Château Garnier,ECG,Château Garnier PDL,SRD,,https://maps.app.goo.gl/6yVv8a2GBjyVPNZL9,
wpd,Chouy,Eoliennes Chouy,Chouy (wpd Energie 21 SE n°16),E21,Chouy PDL,ENEDIS,INEO,https://goo.gl/maps/tikJmDpH4R9HzDDy9,
