Three-letter-code,SPV,Project,WF name in Rotorsoft,WTG serial number,Num WTG,COD,WTG type,WTG version,Manufacturer,Hub height [m],Rotor diameter [m],Tip Height (m),Rated Power [MW]
BOG,ENERGIES BOCAGE,Bocage,Énergies Bocage (FRA),38712.0,,,V90,,Vestas,80.0,90,125.0,2.0
BOG,ENERGIES BOCAGE,Bocage,Énergies Bocage (FRA),38713.0,,,V90,,Vestas,80.0,90,125.0,2.0
BOG,ENERGIES BOCAGE,Bocage,Énergies Bocage (FRA),38711.0,,,V90,,Vestas,80.0,90,125.0,2.0
BOG,ENERGIES BOCAGE,Bocage,Énergies Bocage (FRA),38714.0,,,V90,,Vestas,80.0,90,125.0,2.0
BRS,BOURESSE ENERGIES,Bouresse ,Bouresse Energies (FRA),215372.0,,,V100,,Vestas,100.0,100,150.0,2.0
BRS,BOURESSE ENERGIES,Bouresse ,Bouresse Energies (FRA),215373.0,,,V100,,Vestas,100.0,100,150.0,2.0
BRS,BOURESSE ENERGIES,Bouresse ,Bouresse Energies (FRA),215374.0,,,V100,,Vestas,100.0,100,150.0,2.0
BRS,BOURESSE ENERGIES,Bouresse ,Bouresse Energies (FRA),215375.0,,,V100,,Vestas,100.0,100,150.0,2.0
BRS,BOURESSE ENERGIES,Bouresse ,Bouresse Energies (FRA),215376.0,,,V100,,Vestas,100.0,100,150.0,2.0
CEN,CHAUVE ENERGIES,Chauvé ,Chauvé Energies (FRA),82496.0,,,MM82,,Senvion,80.0,82,121.0,2.0
CEN,CHAUVE ENERGIES,Chauvé ,Chauvé Energies (FRA),82541.0,,,MM82,,Senvion,80.0,82,121.0,2.0
CEN,CHAUVE ENERGIES,Chauvé ,Chauvé Energies (FRA),82542.0,,,MM82,,Senvion,80.0,82,121.0,2.0
CEN,CHAUVE ENERGIES,Chauvé ,Chauvé Energies (FRA),82498.0,,,MM82,,Senvion,80.0,82,121.0,2.0
CEN,CHAUVE ENERGIES,Chauvé ,Chauvé Energies (FRA),82543.0,,,MM82,,Senvion,80.0,82,121.0,2.0
CEN,CHAUVE ENERGIES,Chauvé ,Chauvé Energies (FRA),82497.0,,,MM82,,Senvion,80.0,82,121.0,2.0
E02,ENERGIE 02,Dizy/ Obi,Énergie 02 (FRA),921525.0,WTG 19,2019-02-27 00:00:00,E92,,Enercon,85.0,92,131.0,2.35
E02,ENERGIE 02,Dizy/ Obi,Énergie 02 (FRA),921524.0,WTG 20,2018-12-28 00:00:00,E92,,Enercon,85.0,92,131.0,2.35
E03,ENERGIE 03,Champcourt,Énergie 03 (FRA),1030219.0,,2019-12-09 00:00:00,E103,,Enercon,98.0,103,149.5,2.35
E03,ENERGIE 03,Champcourt,Énergie 03 (FRA),1030224.0,,2019-09-30 00:00:00,E103,,Enercon,98.0,103,149.5,2.35
E03,ENERGIE 03,Champcourt,Énergie 03 (FRA),1030223.0,,2019-09-30 00:00:00,E103,,Enercon,98.0,103,149.5,2.35
E03,ENERGIE 03,Champcourt,Énergie 03 (FRA),1030222.0,,2019-09-30 00:00:00,E103,,Enercon,98.0,103,149.5,2.35
E03,ENERGIE 03,Champcourt,Énergie 03 (FRA),1030221.0,,2019-09-30 00:00:00,E103,,Enercon,98.0,103,149.5,2.35
E03,ENERGIE 03,Champcourt,Énergie 03 (FRA),1030220.0,,2019-09-30 00:00:00,E103,,Enercon,98.0,103,149.5,2.35
E05,Energie 05 SAS,Pays de Mayenne,Énergie 05 (FRA),90840.0,,,N117,,Nordex,91.5,117,150.0,3.6
E06,ENERGIE 06,Saisseval,Énergie 06 (FRA),826078.0,WTG 05,2015-07-03 00:00:00,E82,,Enercon,99.0,82,140.0,2.3
E06,ENERGIE 06,Saisseval,Énergie 06 (FRA),826077.0,WTG 04,2015-07-03 00:00:00,E82,,Enercon,99.0,82,140.0,2.3
E06,ENERGIE 06,Saisseval,Énergie 06 (FRA),826076.0,WTG 03,2015-07-03 00:00:00,E82,,Enercon,99.0,82,140.0,2.3
E06,ENERGIE 06,Saisseval,Énergie 06 (FRA),826075.0,WTG 02,2015-07-03 00:00:00,E82,,Enercon,99.0,82,140.0,2.3
E06,ENERGIE 06,Saisseval,Énergie 06 (FRA),826074.0,WTG 01,2015-07-03 00:00:00,E82,,Enercon,99.0,82,140.0,2.3
E05,Energie 05 SAS,Pays de Mayenne,Énergie 05 (FRA),90841.0,,,N117,,Nordex,91.5,117,150.0,3.6
E05,Energie 05 SAS,Pays de Mayenne,Énergie 05 (FRA),90842.0,,,N117,,Nordex,91.5,117,150.0,3.6
E08,Energie 08 SAS,Dechy,0,252084.0,WTG 01,,V100,,Vestas,95.0,100,145.0,2.0
E08,Energie 08 SAS,Dechy,0,252085.0,WTG 02,,V100,,Vestas,95.0,100,145.0,2.0
E08,Energie 08 SAS,Dechy,0,252086.0,WTG 03,,V100,,Vestas,95.0,100,145.0,2.0
E08,Energie 08 SAS,Dechy,0,252097.0,WTG 04,,V100,,Vestas,95.0,100,145.0,2.0
E08,Energie 08 SAS,Dechy,0,252088.0,WTG 05,,V100,,Vestas,95.0,100,145.0,2.0
E21,Eoliennes Chouy,Chouy (wpd Energie 21 SE n°16),Éoliennes de Chouy (FRA),243674.0,,,V100,,Vestas,100.0,100,150.0,2.0
E21,Eoliennes Chouy,Chouy (wpd Energie 21 SE n°16),Éoliennes de Chouy (FRA),243675.0,,,V100,,Vestas,100.0,100,150.0,2.0
E21,Eoliennes Chouy,Chouy (wpd Energie 21 SE n°16),Éoliennes de Chouy (FRA),243676.0,,,V100,,Vestas,100.0,100,150.0,2.0
E21,Eoliennes Chouy,Chouy (wpd Energie 21 SE n°16),Éoliennes de Chouy (FRA),243677.0,,,V100,,Vestas,100.0,100,150.0,2.0
E21,Eoliennes Chouy,Chouy (wpd Energie 21 SE n°16),Éoliennes de Chouy (FRA),243678.0,,,V100,,Vestas,100.0,100,150.0,2.0
E21,Eoliennes Chouy,Chouy (wpd Energie 21 SE n°16),Éoliennes de Chouy (FRA),243679.0,,,V100,,Vestas,100.0,100,150.0,2.0
EAV,Energie 21 Auvergne,Peyrusse (wpd Energie 21 Auvergne ),0,,,,E82,,Enercon,98.0,82,139.0,2.3
EAV,Energie 21 Auvergne,Peyrusse (wpd Energie 21 Auvergne ),0,,,,E82,,Enercon,98.0,82,139.0,2.3
EAV,Energie 21 Auvergne,Peyrusse (wpd Energie 21 Auvergne ),0,,,,E82,,Enercon,98.0,82,139.0,2.3
EAV,Energie 21 Auvergne,Peyrusse (wpd Energie 21 Auvergne ),0,,,,E82,,Enercon,98.0,82,139.0,2.3
EAV,Energie 21 Auvergne,Peyrusse (wpd Energie 21 Auvergne ),0,,,,E82,,Enercon,98.0,82,139.0,2.3
EAV,Energie 21 Auvergne,Peyrusse (wpd Energie 21 Auvergne ),0,,,,E82,,Enercon,98.0,82,139.0,2.3
EAV,Energie 21 Auvergne,Peyrusse (wpd Energie 21 Auvergne ),0,,,,E82,,Enercon,98.0,82,139.0,2.3
