customer,nom_des_parcs_eoliens,spv,project,three_letter_code,nom_du_pdl,grid_operator,pdl_service_company,coordonnees_gps,communes_departements_
Statkraft Renouvelables,Lanrivoaré,Eoliennes Suroit Snc,Lanrivoaré,LAN,P15 Pervezen À Lanrivoare,Enedis,Dourmap,https://goo.gl/maps/k8DXH3LjfpFfLvw76,Lanrivoaré (Bretagne)
Statkraft Renouvelables,Méligny le Grand (MLG),Eoliennes Suroit Snc,Méligny-Le-Grand,MLG,Eol Meligny,Enedis,Ineo,https://goo.gl/maps/jLnk9P6DhaN2,Méligny le Grand (Meuse)
Statkraft Renouvelables,Ménil la Horgne (MLH),Eoliennes Suroit Snc,Ménil-La-Horgne,MLH,Pdl Menil,Enedis,Ineo,https://goo.gl/maps/kvjmPg8S4MN2,"Ménil la Horgne, Saulvaux (Meuse)"
Statkraft Renouvelables,Roudouallec,Eoliennes Suroit Snc,Roudouallec,ROU,Eolien Abowind,Enedis,Dourmap,https://goo.gl/maps/aPPPtommuRWUfM6f8,Roudouallec (Bretagne)
Lanea,Energie 02,Energie 02,Dizy/ Obi,E02,Carreau Manceau 4,Enedis,Ineo,https://goo.gl/maps/RKUGPTYRs7y,Dizy-le-Gros (Aisne)
Lanea,Energie 06,Energie 06,Saisseval,E06,Vallee Madame,Enedis,Ineo,https://goo.gl/maps/C9xH6NWYJHB2,Saisseval 80540 (Somme)
Lanea,Energie 21 Poitou Charentes (MLHCP),Energie 21 Poitou-Charentes,Mlhcp,EPC,Mlhcp Nord,Geredis ,Ineo,https://goo.gl/maps/kKMQ2XzEgrm,"Melleran, Lorigné, Hanc, La Chapelle-Pouilloux (Deux Sèvres)"
Lanea,Energie 21 Poitou Charentes (MLHCP),Energie 21 Poitou-Charentes,Mlhcp,EPC,Mlhcp Sud,Enedis,Ineo,https://goo.gl/maps/kKMQ2XzEgrm,"Melleran, Lorigné, Hanc, La Chapelle-Pouilloux (Deux Sèvres)"
Lanea,Energie Blanc Mont,Energie Du Blanc Mont,Blanc Mont,EBM,La Garennes,Enedis,Ineo,https://goo.gl/maps/kobYT3ZcSj72,La Malmaison (Aisne)
Lanea,Energie Dizy,Energie Dizy,Dizy,EDI,Carreau Manceau 5,Enedis,Ineo,https://goo.gl/maps/neRWBmBfit82,Dizy-le-Gros (Aisne)
Lanea,Energie les Trente,Energie Les Trente,Les Trente,ELT,Les Trente 60011P1069,Enedis,Ineo,https://goo.gl/maps/XJ6bELGLmDn,"Le fond de Gronde, proche de Amy 60310 (Oise)"
Lanea,Energie Montagne Gaillard,Energie Montagne Gaillard,Montagne Gaillard,EMG,Montagne Gaillard Pdl 1 Ouest,Sicae,Ineo,https://goo.gl/maps/W4KcfVogAwy,"Epehy, Villers-Faucon (Somme)"
Lanea,Energie Montagne Gaillard,Energie Montagne Gaillard,Montagne Gaillard,EMG,Montagne Gaillard Pdl 2 Est,Sicae,Ineo,https://goo.gl/maps/W4KcfVogAwy,"Epehy, Villers-Faucon (Somme)"
Lanea,Energie Obi,Energie De L'Obi,Parc M (Obi),EOB,Carreau Manceau 3,Enedis,Ineo,https://goo.gl/maps/neRWBmBfit82,Dizy-le-Gros (Aisne)
Lanea,Mont d'Ergny,Sepe Du Mont D Ergny,Mont D'Ergny,SME,Campagne-Les-Boulonnais,Enedis,Enercon,https://goo.gl/maps/fM2p9N4ANwuXNkXM9,Bourthes (Pas-de-Calais)
Wpd,Château-Garnier,Energie Château Garnier,Château Garnier,ECG,Château Garnier Pdl,Srd,,https://maps.app.goo.gl/6yVv8a2GBjyVPNZL9,
Wpd,Chouy,Eoliennes Chouy,Chouy (Wpd Energie 21 Se N°16),E21,Chouy Pdl,Enedis,Ineo,https://goo.gl/maps/tikJmDpH4R9HzDDy9,
Wpd,Dechy,Energie 08 Sas,Dechy,E08,Dechy Pdl,Enedis,,https://maps.app.goo.gl/jSb4ETTwWDg9kkQM6,
